type,prompt,completion,url
Sleep Health,What can I do when I can't sleep?,"Try these 5 healthy sleep habits to get your sleep back on track.
Just about everyone has the occasional bad night’s sleep, but when poor sleep becomes the norm, it may affect your life in lots of different ways.1 Your weight, your work, your relationships and your enjoyment of life can all improve with good, regular sleep.2 You deserve to feel your best with the energy to live each day to its full potential. So if you’re struggling to fall asleep or stay asleep, it’s time to work out why easy, restful sleep isn’t happening for you.
Here are 
https://www.resmed.com.au/blog/sleep-hygiene
5 healthy sleep habits that you can try:
Get enough hours
Be consistent
No electronics in the bedroom
Relaxation before bed
Make a commitment
 
References
ERoth, T, J. Clin Sleep Med 2007 Aug 15; 3(5 Suppl): S7–S10.
https://www.nhlbi.nih.gov/health-topics/sleep-deprivation-and-deficiency accessed 2 Aug 2019",https://www.resmed.com.au/knowledge-hub/what-can-i-do-when-i-cant-sleep
NightOwl App,NightOwl App - Error Code 02 (ECO2),"Find out what this error could mean for your sleep test.
Uh oh! Looks like there were some problems with last night’s sleep test. Not to worry, let’s walk through on how we can fix this.
Insufficient phone battery
 Your phone could have run of battery or turned off during the sleep test. It is vital for your phone to be ON in order to maintain Bluetooth connection with your device. Make sure your phone is charging for the duration of your sleep test.
You could have turned your sensor OFF
 It is possible that you manually turned OFF the sensor before we were able to collect enough data for the sleep test. We need you to sleep with the device for at least 4 hours in order to provide an analysis of your sleep. 
NightOwl Companion app keeps shutting down
The NightOwl Companion app is repeatedly shut down by your smartphone. You can avoid this issue by using an alternative smartphone or tablet. Open the instruction email we sent you on your new smart device. Follow the steps in the email to download and configure the app. You should be able to continue your home sleep test for the remaining nights.
Need more support? The ResMed team would love to have a chat with you! You can reach us on 
tel:1800737633
1800 737 633
. Alternatively, you can email us on 
mailto:sleeptest@resmed.com.au
sleeptest@resmed.com.au
.
 ",https://www.resmed.com.au/knowledge-hub/nightowl-app-error-code-02-eco2
ResMed onesleeptest,I have bad nightmares and/or I sleepwalk. Will the home sleep test help me?,"Consult your GP if you experience nightmares or sleepwalking.
 We’d like to help, but we think you should discuss your nightmares or sleepwalking with your GP.",https://www.resmed.com.au/knowledge-hub/i-have-bad-nightmares-and-or-i-sleepwalk-will-the-home-sleep-test-help-me
ResMed onesleeptest,What mobile phones are compatible with the NightOwl companion app used by the onesleeptest?,"Please see here for more information on mobile phone compatibility.
You will need a Bluetooth-enabled smartphone with the minimum specs listed below. If this is unavailable to you or you're unsure, please contact us on 1800 737 633. We can help you organise an alternate home sleep test which can be used without a mobile phone if necessary.
iPhone:
Min OS: iO S10
Space needed: 64MB
E.g. iPhone 5 from 2012 can also support iOS 10
Android:
Min OS: Android 7 (Nougat)
Space needed: 48 MB",https://www.resmed.com.au/knowledge-hub/what-mobile-phones-are-compatible-with-the-nightowl-companion-app-used-by-the-onesleeptest
NightOwl App,NightOwl App - Error Code 04 (ECO4),"Find out what this error code means.
Uh oh! Looks like there were some problems with last night’s sleep test. Not to worry, let’s walk through on how we can fix this. 
Insufficient data
It seems like we don’t have enough data to analyse your results. You need to sleep with the device for at least 4 hours in order for us to provide an analysis of your sleep. Try repeating the test again tonight, make sure you clock in those ZZZ’s!
Bluetooth instability
It seems like your smartphone cannot maintain a constant Bluetooth connection with the NightOwl sensor. This could be caused by the NightOwl sensor being out of range of the smartphone. We advise you keep your smartphone within a 2 metre radius of your bed.
If your NightOwl sensor was already within range, the issue could be with your smartphone. You can avoid this issue by using an alternative smartphone or tablet. Open the instruction email we sent you on your new smart device. Follow the steps in the email to download and configure the app. You should be able to continue your home sleep test for the remaining nights.
Need more support? The ResMed team would love to have a chat with you! You can reach us on 
tel:1800737633
1800 737 633
. Alternatively, you can email us on 
mailto:sleeptest@resmed.com.au
sleeptest@resmed.com.au
.
 ",https://www.resmed.com.au/knowledge-hub/nightowl-app-error-code-04-eco4
NightOwl App,NightOwl App - Error Code 03 (ECO3),"Find out how to resolve this error code in your sleep study.
Uh oh! Looks like there were some problems with last night’s sleep test. Not to worry, let’s walk through on how we can fix this.  
Insufficient data
It seems like we don’t have enough data to analyse your results. You need to sleep with the device for at least 4 hours in order for us to provide an analysis of your sleep. Try repeating the test again tonight, make sure you clock in those ZZZ’s!
Poor signal quality
It appears that the sensor was incorrectly wrapped around your finger. Having the sensor on too tight or too loose can cause errors with the test. There is no need to strap the device tightly. If you experience any discomfort, readjust the adhesive wrap so the sensor gently attaches to your finger, without stretching the wrap. Similarly, the sensor should not be too loose. As long as the sensor maintains contact with your finger and stays in position during the night, we will be able to collect data for your sleep test.
Bluetooth instability
It seems like your smartphone cannot maintain a constant Bluetooth connection with the NightOwl sensor. This could be caused by the NightOwl sensor being out of range of the smartphone. We advise you keep your smartphone within a 2 metre radius of your bed.
If your NightOwl sensor was already within range, the issue could be with your smartphone. You can avoid this issue by using an alternative smartphone or tablet. Open the instruction email we sent you on your new smart device. Follow the steps in the email to download and configure the app. You should be able to continue your home sleep test for the remaining nights.
Need more support? The ResMed team would love to have a chat with you! You can reach us on 
tel:1800737633
1800 737 633
. Alternatively, you can email us on 
mailto:sleeptest@resmed.com.au
sleeptest@resmed.com.au
.
 ",https://www.resmed.com.au/knowledge-hub/nightowl-app-error-code-03-eco3
NightOwl App,NightOwl App - Error Code 01 (ECO1),"Find out what error your NightOwl or onesleeptest is having.
Uh oh! Looks like there were some problems with last night’s sleep test. Not to worry, let’s walk through on how we can fix this.
Insufficient phone battery
Your phone could have run of battery or turned off during the sleep test. It is vital for your phone to be ON in order to maintain Bluetooth connection with your device. Make sure your phone is charging for the duration of your sleep test.
You could have turned your sensor OFF
 It is possible that you manually turned OFF the sensor before we were able to collect enough data for the sleep test. We need you to sleep with the device for at least 4 hours in order to provide an analysis of your sleep. 


NightOwl Companion app keeps shutting down


The NightOwl Companion app is repeatedly shut down by your smartphone. You can avoid this issue by using an alternative smartphone or tablet. Open the instruction email we sent you on your new smart device. Follow the steps in the email to download and configure the app. You should be able to continue your home sleep test for the remaining nights.
Poor signal quality
It appears that the sensor was incorrectly wrapped around your finger. Having the sensor on too tight or too loose can cause errors with the test. There is no need to strap the device tightly. If you experience any discomfort, readjust the adhesive wrap so the sensor gently attaches to your finger, without stretching the wrap. Similarly, the sensor should not be too loose. As long as the sensor maintains contact with your finger and stays in position during the night, we will be able to collect data for your sleep test.
Need more support? The ResMed team would love to have a chat with you! You can reach us on 
tel:1800737633
1800 737 633
. Alternatively, you can email us on 
mailto:sleeptest@resmed.com.au
sleeptest@resmed.com.au
.",https://www.resmed.com.au/knowledge-hub/nightowl-app-error-code-01-eco1
ResMed onesleeptest,What do I do after I've completed 3 nights using my home sleep test?,"A sleep report will be emailed to you within 3-5 working days.
 Make a cup of tea and relax. After the app collects the data, an Australian sleep physician will assess your data in conjunction with the results from your online sleep assessment and send you a sleep report within 3-5 working days. You should 
https://www.resmed.com.au/ccc
book your included consultation
 with one of our ResMed Sleep Coaches* while you’re waiting. If at any time you require medical advice we recommend you have a chat with your doctor.
*ResMed Sleep Coaches are sales and customer service representatives who have received training in sleep health. They can give general information about sleep health, sleep disorders and products that my help improve your sleep. They are not qualified health care professionals and cannot provide medical advice.",https://www.resmed.com.au/knowledge-hub/what-do-i-do-after-ive-completed-3-nights-using-my-home-sleep-test
ResMed onesleeptest,Has the onesleeptest been approved by the Therapeutic Goods Administration(TGA)?,"
 The NightOwl® companion app software and the NightOwl® sensor are TGA approved medical devices. ",https://www.resmed.com.au/knowledge-hub/has-the-onesleeptest-been-approved-by-the-therapeutic-goods-administrationtga
ResMed onesleeptest,I haven't received my sleep test report. What do I do?,"You will receive an email with your sleep test report.
 You should receive an email with your sleep report to the email address you signed up within no more than 5 days after completing the test. If not, please check your spam folder or contact us on 1800 737 633 if you can't find it. ",https://www.resmed.com.au/knowledge-hub/i-havent-received-my-sleep-test-report.-what-do-i-do
