category,sku,product,description,price,breadcrumb,product_url,money_back,rating,total_reviews,tags,type
Sleep apnea,SKU:28125,ResMed Lumis™ 150 VPAP ST ventilator,"Lumis 150 VPAP ST is one of a series of ventilators for people with respiratory conditions who can breathe spontaneously but not efficiently enough. The Lumis 150 VPAP ST is easy to set up and use and features built-in wireless connectivity.*
Responds to your needsTwo therapy modes provide personalised ventilation to support your respiratory condition and automatically adapt to your changing needs while giving you the opportunity to breathe spontaneously.Comfortable, user friendly design Easy to navigate and use, Lumis can gradually and comfortably ramp the pressure up to your prescribed level, and down again at the end of the therapy session.Consistent humidificationWhen used with a HumidAir™ heated humidifier and ClimateLineAir™ heated tube, Lumis delivers humidification automatically. ",,Home > Sleep apnea > CPAP Machines > Bilevels and Bipaps > ResMed Lumis™ 150 VPAP ST ventilator,https://shop.resmed.com.au/resmed-lumis-150-vpap-st-ventilator/,False,0.0,0,Ventilator|Sleep Apnea|HumidAir|ClimateLineAir|Bilevels|Bipaps,Product
Sleep apnea,SKU:38813,ResMed HumidX™ Plus (6 Pack),"6 pack of HumidX Plus capsules for use with AirMini™ compatible AirFit™ nasal and nasal pillows mask systems. Each one provides waterless humidification when used with a ResMed AirMini CPAP machine.
HumidX are small heat and moisture exchangers (HME) designed to provide you with a comfortable experience at home or on holiday.HumidX Plus can be used in dry and high altitude environments where humidity is low. For instance, if you are traveling by plane, this would be the perfect solution.When you exhale, heat and moisture is stored within the HME's tiny paper ridges. When you inhale, this heat and moisture is released to humidify the air you breathe in.Each pack contains 6 capsules for use.ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",59.00,Home > Bestsellers > ResMed HumidX™ Plus (6 Pack),https://shop.resmed.com.au/resmed-humidx-plus-6-pack/,False,4.0,20,HumidX Plus|Sleep Apnea|Heat and Moisture Exchangers|HME|AirMini™|AirFit™,Accessory
Sleep apnea,SKU:63567,ResMed AirFit™ N20 for Her Mask Frame,"Replacement mask frame for AirFit N20 (for Her) Nasal Mask.
This is a replacement mask frame for AirFit N20 (for Her) Nasal Mask. The fabric-lined frame is flexible enough to fit regardless of your face shape or size thanks to its unique design. ",90.00,Home > Sleep apnea > CPAP Accessories > CPAP Mask Headgear > ResMed AirFit™ N20 for Her Mask Frame,https://shop.resmed.com.au/resmed-airfit-n20-for-her-mask-frame/,False,0.0,0,Mask Frame|Sleep Apnea|AirFit N20|CPAP Mask Headgear|ResMed,Accessory
Sleep apnea,SKU:63564,ResMed AirFit™ N20 Mask Magnet Clips (2 Pack),"Replacement magnetic headgear clips in blue for ResMed AirFit N20 CPAP Mask. Pack of 2
",10.00,Home > Sleep apnea > CPAP Accessories > CPAP Mask Parts > ResMed AirFit™ N20 Mask Magnet Clips (2 Pack),https://shop.resmed.com.au/resmed-airfit-n20-mask-magnet-clips-2-pack/,False,4.5,17,Magnet Clips|Sleep Apnea|CPAP|ResMed AirFit N20,Accessory
Sleep apnea,SKU:62938,ResMed AirFit™ P10 Mask Frame,"Replacement Frame for ResMed AirFit P10 Nasal Pillows Mask.
Replacement Frame for ResMed AirFit P10 Nasal Pillows Mask. ",125.00,Home > Sleep apnea > CPAP Accessories > CPAP Mask Headgear > ResMed AirFit™ P10 Mask Frame,https://shop.resmed.com.au/airfit-p10-frame/,False,4.0,1,Headgear|Sleep Apnea|CPAP|Mask|ResMed|AirFit,Accessory
Sleep health,SKU:7078708,Silk Eye Mask,"Look forward to a deep, refreshing night's rest with this deliberately over-sized silk sleeping mask.
Look forward to a deep, refreshing night’s rest with this deliberately oversized, 100% pure silk sleeping mask and eyeshade.It shuts out the maximum amount of distracting light.The padded strap prevents hair entanglement.Choose from blue or black.",55.00,Home > Sleep health > Fall Asleep Faster > Silk Eye Mask,https://shop.resmed.com.au/silk-eye-mask/,True,2.0,1,Silk Eye Mask|Sleep Health|Fall Asleep Faster|Padded Strap|Blue|Black,Accessory
Sleep apnea,SKU:61543,ResMed Swift™ FX for Her Mask Headgear Assembly,"Replacement Headgear Assembly for ResMed Swift FX Bella (For Her series) Nasal Pillows Mask.
Replacement Swift FX For Her headgear loops that wrap easily and gently around your ears, the Bella is simple to wear and easy to adjust. ",110.00,Home > Sleep apnea > CPAP Accessories > CPAP Mask Headgear > ResMed Swift™ FX for Her Mask Headgear Assembly,https://shop.resmed.com.au/resmed-swift-fx-for-her-headgear-assembly/,False,0.0,0,Headgear|Sleep Apnea|CPAPMask|Swift FX|Bella,Accessory
Insomnia,SKU:7078710,Dreampad™,"Lull yourself to sleep faster with music on a pillow that only you can hear. Custom-designed medium firmness pillows that connect to your phone and provide a unique sound experience that only you can hear.
Uses sound vibrations Only you can hear the music. Dreampad’s sound vibrations are detected by your inner ear to help usher in a deep and uninterrupted night’s sleep.7 songs engineered for deep sleep Your Dreampad app* includes 7 songs and soundscapes chosen for their ability to induce sleep. You can also play your own favourite tunes. Play for a few minutes or all night. Use the timer to play the music as long as you wish.Want to know more?",189.00,Home > Sleep health > Pillows > Dreampad™,https://shop.resmed.com.au/dreampad-pillow/,True,2.3,3,Dreampad™|Insomnia|Sound Vibrations|Music Pillow|Deep Sleep,Product
Sleep apnea,SKU:38841,ResMed AirMini™ Hard Case,"Protect your ResMed AirMini device when you travel with this rigid carry case.
Protect your ResMed AirMini device with this rigid grey carry case. It even fits into the Premium carry bag!It's convenient and useful when travelling as it is just the right fit for any suitcase.Only available for the AirMini device.",50.00,Home > Sleep apnea > CPAP Accessories > CPAP Bags > ResMed AirMini™ Hard Case,https://shop.resmed.com.au/resmed-airmini-hard-case/,False,2.0,1,Hard Case|Sleep Apnea|ResMed AirMini|CPAP Bags,Accessory
Sleep apnea,SKU:38815,ResMed AirMini™ Filters (2 Pack),"Block fine dust from entering your AirMini device with these disposable filters. Pack of two.
Keep your AirMini device clean by using these filters to block fine materials and larger particles from entering your machine.Sold as a pack of 2 filters. These standard air filters are only suitable for use with the ResMed AirMini device.These filters are disposable and aren't suitable for washing.",5.90,Home > Bestsellers > ResMed AirMini™ Filters (2 Pack),https://shop.resmed.com.au/resmed-airmini-filters-2-pack/,False,4.6,5,Filters|ResMed AirMini|Sleep Apnea|Disposable|Pack of 2,Accessory
