prompt,completion
Sleep apnea,"[['ResMed Filter Cover for S9™ Series Machines', '$8.90', 'https://shop.resmed.com.au/resmed-filter-cover-for-s9-series-machines/'], ['ResMed DC 12v and 24v S9 Model Converter', '$169.00', 'https://shop.resmed.com.au/resmed-dc-12v-and-24v-s9-model-converter/'], ['ResMed AirSense™ 10, AirCurve™ 10 and Lumis™ DC-DC Converter', '$149.00', 'https://shop.resmed.com.au/resmed-converter-for-airsense-10-dc-dc/'], ['ResMed Connector Cable for S9™ to ResMed Power Station II', '$29.00', 'https://shop.resmed.com.au/resmed-connector-cable-from-s9-to-powerstation-ii/'], ['ResMed Connector Cable for AirSense™ 10 to ResMed Power Station II', '$35.00', 'https://shop.resmed.com.au/resmed-connector-cable-for-airsense-10-to-powerstation-ii/'], ['ResMed ClimateLine™ Heated Tubing for S9™ CPAP Machines', '$69.00', 'https://shop.resmed.com.au/resmed-climateline-tubing-for-s9-cpap-machines/'], ['ResMed ClimateLineAir™ Heated Tubing for AirSense™ 10', '$69.00', 'https://shop.resmed.com.au/resmed-climateline-tubing-for-airsense-10/'], ['ResMed ClimateLine™ Max Oxy Heated Tubing', '$99.00', 'https://shop.resmed.com.au/resmed-climateline-max-oxy-tubing/'], ['ResMed ClimateLineAir™ Oxy Heated Tubing', '$99.00', 'https://shop.resmed.com.au/resmed-climateline-air-oxy-heated-tubing/'], ['ResMed Power Station II Battery Coupler Kit', '$120.00', 'https://shop.resmed.com.au/resmed-battery-connector-for-powerstation-ii/'], ['ResMed AirSense™ 10 Travel Bag', '$49.95', 'https://shop.resmed.com.au/resmed-airsense-10-travel-bag/'], ['ResMed AirSense™ 10 Side Cover - Charcoal', '$29.95', 'https://shop.resmed.com.au/resmed-airsense-10-side-cover-charcoal/']]"
Sleep apnea,"[['ResMed AirFit™ P30/N30 i Headgear', '$65.00', 'https://shop.resmed.com.au/resmed-airfit-30i-headgear/'], ['ResMed AirFit™ F30 Mask Headgear', '$85.00', 'https://shop.resmed.com.au/resmed-airfit-f30-headgear/'], ['ResMed AirFit™ N20 for Her Nasal Mask', '$209.00', 'https://shop.resmed.com.au/resmed-airfit-n20-for-her-nasal-mask/'], ['ResMed AirFit™ F30 Full Face Mask', '$229.00', 'https://shop.resmed.com.au/resmed-airfit-f30-full-face-mask/'], ['ResMed AirTouch™ F20 Cushion (3 Pack)', '$69.00', 'https://shop.resmed.com.au/resmed-airtouch-f20-cushion-3pk/'], ['ResMed AirFit™ N20 Mask Elbow and Tube', '$65.00', 'https://shop.resmed.com.au/resmed-airfit-n20-mask-elbow-and-tube/'], ['ResMed AirFit™ N20 for Her Mask Headgear', '$65.00', 'https://shop.resmed.com.au/resmed-airfit-n20-mask-headgear-for-her/'], ['ResMed AirFit™ N20 for Her Mask Frame', '$90.00', 'https://shop.resmed.com.au/resmed-airfit-n20-for-her-mask-frame/'], ['ResMed AirFit™ N20 Classic Mask Frame', '$75.00', 'https://shop.resmed.com.au/resmed-airfit-n20-classic-mask-frame/'], ['ResMed AirFit™ N20 Classic Mask Elbow', '$30.00', 'https://shop.resmed.com.au/resmed-airfit-n20-classic-elbow/'], ['ResMed AirFit™ N10 Mask Frame', '$85.00', 'https://shop.resmed.com.au/airfit-n10-mask-frame/'], ['ResMed AirFit™ N10 Mask Headgear', '$85.00', 'https://shop.resmed.com.au/resmed-airfit-n10-headgear/']]"
Sleep apnea,"[['Cleaning Pack', '$18.50', 'https://shop.resmed.com.au/cleaning-pack/'], ['ResMed AirFit™ F30i Full Face Cushion', '$89.00', 'https://shop.resmed.com.au/resmed-airfit-f30i-full-face-cushion/'], ['ResMed AirFit™ F30i (frame only)', '$159.00', 'https://shop.resmed.com.au/resmed-airfit-f30i-frame/'], ['ResMed AirFit™ F30i Mask Headgear', '$85.00', 'https://shop.resmed.com.au/resmed-airfit-f30i-mask-headgear/'], ['ResMed AirFit™ F30i Soft Wraps', '$15.00', 'https://shop.resmed.com.au/resmed-airfit-f30i-soft-wraps/'], ['ResMed AirFit™ F30i Full Face Mask', '$249.00', 'https://shop.resmed.com.au/resmed-airfit-f30i-full-face-mask/'], ['ResMed AirFit™ N30 Nasal Cradle Cushion', '$85.00', 'https://shop.resmed.com.au/resmed-airfit-n30-mask-cushion/'], ['ResMed AirFit™ N30 Nasal Cradle Mask', '$249.00', 'https://shop.resmed.com.au/resmed-airfit-n30-nasal-cradle-mask/'], ['ResMed AirFit F20/F30 QuietAir Elbow', '$50.00', 'https://shop.resmed.com.au/resmed-airfit-f20-f30-quietair-elbow/'], ['ResMed AirTouch™ F20 Mask Cushion (Single)', '$29.00', 'https://shop.resmed.com.au/resmed-airtouch-f20-cushion-single/'], ['ResMed AirFit™ P30i Mask Cushion', '$89.00', 'https://shop.resmed.com.au/resmed-airfit-p30i-pillows-cushion/'], ['ResMed AirFit™ N30i Mask Cushion', '$85.00', 'https://shop.resmed.com.au/resmed-airfit-n30i-nasal-cradle-cushion/']]"
Sleep apnea,"[['ResMed AirSense™ 10, AirCurve™ 10 and Lumis™ SD Card', '$19.95', 'https://shop.resmed.com.au/resmed-airsense-10-sd-card/'], ['ResMed AirSense™ 10 for Her Side Cover - Grey', '$29.95', 'https://shop.resmed.com.au/resmed-airsense-10-for-her-side-cover-grey/'], ['ResMed AirSense™ 10 for Her Filter Cover', '$9.95', 'https://shop.resmed.com.au/resmed-airsense-10-for-her-filter-cover/'], ['ResMed AirSense™ 10 Filter Cover', '$9.95', 'https://shop.resmed.com.au/resmed-airsense-10-filter-cover/'], ['ResMed AirMini™ Premium Carry Bag', '$90.00', 'https://shop.resmed.com.au/resmed-airmini-premium-carry-bag/'], ['ResMed AirMini™ Hard Case', '$50.00', 'https://shop.resmed.com.au/resmed-airmini-hard-case/'], ['ResMed AirMini™ Filters (12 Pack)', '$29.90', 'https://shop.resmed.com.au/resmed-airmini-filters-12-pack/'], ['ResMed AirMini™ Filters (2 Pack)', '$5.90', 'https://shop.resmed.com.au/resmed-airmini-filters-2-pack/'], ['ResMed AirMini™ DC-DC Converter', '$149.00', 'https://shop.resmed.com.au/resmed-airmini-dc-dc-power-converter/'], ['ResMed AirMini™ Bed Caddy', '$50.00', 'https://shop.resmed.com.au/resmed-airmini-bed-caddy'], ['ResMed AirMini™ 20W AC Power Supply Unit', '$49.95', 'https://shop.resmed.com.au/resmed-airmini-20w-ac-power-adapter/'], ['ResMed Air Tubing Connector', '$6.00', 'https://shop.resmed.com.au/resmed-air-tubing-connector/']]"
Insomnia,"[['ResMed Sleepy Time Tea', '$10.95', 'https://shop.resmed.com.au/resmed-sleepy-time-tea/'], ['Dodow', '$70.00', 'https://shop.resmed.com.au/my-dodow/'], ['Dreampad™', '$189.00', 'https://shop.resmed.com.au/dreampad-pillow/'], ['Re-timer Light Therapy Glasses', '$299.00', 'https://shop.resmed.com.au/re-timer-light-therapy-glasses/']]"
Sleep health,"[['SnoreRx ®', '$99.00', 'https://shop.resmed.com.au/snore-rx/'], ['ResMed Sleepy Time Tea', '$10.95', 'https://shop.resmed.com.au/resmed-sleepy-time-tea/'], ['Dodow', '$70.00', 'https://shop.resmed.com.au/my-dodow/'], ['Day & Night Essentials Roll On', '$59.95', 'https://shop.resmed.com.au/day-night-essentials-roll-on/'], ['Drift and Dream Sleep Mist – 125mL', '$25.00', 'https://shop.resmed.com.au/drift-and-dream-sleep-mist-125ml/'], ['Shift Worker Bundle', '$295.00', 'https://shop.resmed.com.au/shift-worker-bundle/'], ['Block Blue Light Family Pack', '$199.00', 'https://shop.resmed.com.au/block-blue-light-family-pack/'], ['Bambi Cooltouch Waterproof Mattress Protector', '$169.00 - $349.00', 'https://shop.resmed.com.au/bambi-cooltouch-waterproof-mattress-protector/'], ['Bambi Cooltouch Pillow Protector', '$39.00', 'https://shop.resmed.com.au/bambi-cooltouch-pillow-protector/'], ['Bambi Cooltouch Flip Ingeo Pillow', '$89.00', 'https://shop.resmed.com.au/bambi-cooltouch-flip-ingeo-pillow/'], ['The Little Box of Sleep', '$69.00', 'https://shop.resmed.com.au/the-little-box-of-sleep/'], ['Essential Sleep and Stress Nutrients - 180 capsules', '$52.00', 'https://shop.resmed.com.au/essential-sleep-and-stress-nutrients-180-capsules/']]"
Sleep apnea,"[['ResMed AirFit P10 Headgear Clips (2pack)', '$7.50', 'https://shop.resmed.com.au/resmed-airfit-p10-headgear-clips-2pack/'], ['ResMed AirFit - F30 - Frame (Standard)', '$95.00', 'https://shop.resmed.com.au/resmed-airfit-f30-frame-standard/'], ['REMZzz Nasal Padded Liners for Philips Masks (SAMPLE 6 pack)', '$15.00', 'https://shop.resmed.com.au/remzzz-nasal-padded-liners-for-philips-masks-sample-6-pack/'], ['REMZzz Nasal Padded Liners for ResMed and Fisher Paykel Masks (SAMPLE 6 pack)', '$15.00', 'https://shop.resmed.com.au/remzzz-nasal-padded-liners-for-resmed-and-fisher-paykel-masks-sample-6-pack/'], ['REMZzz Nasal Pillow Padded Liners (SAMPLE 6 pack)', '$15.00', 'https://shop.resmed.com.au/remzzz-nasal-pillow-padded-liners-sample-6-pack/'], ['REMZzz Nasal Padded Liners Extra Small (SAMPLE 6 pack)', '$15.00', 'https://shop.resmed.com.au/remzzz-nasal-padded-liners-extra-small-sample-6-pack/'], ['REMZzz Nasal Pillow Padded Liners (30 pack)', '$50.00', 'https://shop.resmed.com.au/remzzz-nasal-pillow-padded-liners-30-pack/'], ['REMZzz Nasal Padded Liners Extra Small (30 pack)', '$50.00', 'https://shop.resmed.com.au/remzzz-nasal-padded-liners-extra-small-30-pack/'], ['ResMed Pure Liquid Soap', '$7.70', 'https://shop.resmed.com.au/resmed-pure-liquid-soap/'], ['ResMed P10 Connector for AirMini™', '$80.00', 'https://shop.resmed.com.au/resmed-p10-connector-for-airmini/'], ['ResMed N20 Connector for AirMini™', '$35.00', 'https://shop.resmed.com.au/resmed-airfit-n20-connector-for-airmini/'], ['ResMed F20/F30 Connector for AirMini™', '$30.00', 'https://shop.resmed.com.au/resmed-airfit-f20-f30-connector-for-airmini/']]"
Sleep apnea,"[['AirFit™ N30 for AirMini™ Mask Pack', '$310.00', 'https://shop.resmed.com.au/airfit-n30-for-airmini-mask-pack/'], ['HumidX™ F20 (6 Pack)', '$59.00', 'https://shop.resmed.com.au/humidx-f20-6-pack/'], ['HumidX™ F20 (3 Pack)', '$35.00', 'https://shop.resmed.com.au/humidx-f20-3-pack/'], ['AirMini™ F20 Setup Pack (No Mask)', '$67.50', 'https://shop.resmed.com.au/airmini-f20-setup-pack-no-mask/'], ['AirMini™ F30 Setup Pack (No Mask)', '$60.00', 'https://shop.resmed.com.au/airmini-f30-setup-pack-no-mask/'], ['ResMed AirTouch™ N20 Mask Cushion (Single)', '$29.00', 'https://shop.resmed.com.au/resmed-airtouch-n20-mask-cushion-single/'], ['ResMed AirTouch™ N20 Cushion (3 Pack)', '$69.00', 'https://shop.resmed.com.au/resmed-airtouch-n20-cushion-3-pack/'], ['ResMed AirTouch™ N20 Starter Pack', '$199.00', 'https://shop.resmed.com.au/resmed-airtouch-n20-starter-pack/'], ['ResMed AirTouch™ N20 for Her Starter Pack', '$199.00', 'https://shop.resmed.com.au/resmed-airtouch-n20-for-her-starter-pack/'], ['Filters for ResMed S9™ and AirSense™ 10 (2 Pack)', '$5.90', 'https://shop.resmed.com.au/filters-for-resmed-s9-and-airsense-10-2-pack/'], ['ResMed Airsense10 Air Outlet', '$9.95', 'https://shop.resmed.com.au/resmed-airsense10-air-outlet/'], ['ResMed Airsense10 Tubing Elbow', '$9.95', 'https://shop.resmed.com.au/resmed-airsense10-tubing-elbow/']]"
Sleep apnea,"[['ResMed AirFit™ F10 for Her Mask Headgear', '$80.00', 'https://shop.resmed.com.au/resmed-airfit-f10-for-her-mask-headgear/'], ['ResMed AirSense™ 10 AutoSet™ for Her Automatic CPAP Machine', '$1,815.00', 'https://shop.resmed.com.au/resmed-airsense-10-autoset-for-her-machine/'], ['ResMed AirSense™ 10 Elite CPAP Machine', '$1,315.00', 'https://shop.resmed.com.au/resmed-airsense-10-elite-cpap-machine/'], ['ResMed HumidX™ (6 Pack)', '$59.00', 'https://shop.resmed.com.au/resmed-humidx-6-pack/'], ['ResMed AirFit™ 30i Mask Elbow', '$29.00', 'https://shop.resmed.com.au/resmed-airfit-30i-elbow/'], ['Headgear for Mirage or Ultra Mirage or Quattro mask', '$60.00', 'https://shop.resmed.com.au/headgear-for-mirage-or-ultra-mirage-or-quattro-mask/'], ['Headgear clips for Micro Activa LT or Ultra Mirage (2 pack)', '$9.90', 'https://shop.resmed.com.au/headgear-clips-for-micro-activa-lt-or-ultra-mirage-2-pack/'], ['CPAP Mask Wipes (62 Pack)', '$13.20', 'https://shop.resmed.com.au/resmed-cpap-wipes-62-pack/'], ['ResMed AirFit™ P10 Mask Frame', '$125.00', 'https://shop.resmed.com.au/airfit-p10-frame/'], ['ResMed AirFit™ N20 Mask Frame', '$90.00', 'https://shop.resmed.com.au/resmed-airfit-n20-mask-frame/'], ['ResMed HumidX™ Plus (3 Pack)', '$35.00', 'https://shop.resmed.com.au/resmed-humidx-plus-3-pack/'], ['ResMed AirFit™ F20 Full Face Mask', '$229.00', 'https://shop.resmed.com.au/resmed-airfit-f20-full-face-mask/']]"
Bestsellers,"[['ResMed AirFit™ P30i Pillows Mask', '$229.00', 'https://shop.resmed.com.au/resmed-airfit-p30i-pillows-mask/'], ['ResMed HumidX™ Plus (6 Pack)', '$59.00', 'https://shop.resmed.com.au/resmed-humidx-plus-6-pack/'], ['ResMed AirMini™ Automatic CPAP Machine', '$1,565.00', 'https://shop.resmed.com.au/ResMed-AirMini-Smallest-CPAP-AutoSet-Device/'], ['ResMed AirTouch™ F20 Cushion (3 Pack)', '$69.00', 'https://shop.resmed.com.au/resmed-airtouch-f20-cushion-3pk/'], ['ResMed AirFit™ F20 Mask Cushion', '$75.00', 'https://shop.resmed.com.au/resmed-airfit-f20-mask-cushion/'], ['ResMed AirFit™ F20 Mask Headgear', '$69.00', 'https://shop.resmed.com.au/airfit-f20-mask-headgear/'], ['ResMed AirSense™ 10 AutoSet™ for Her Automatic CPAP Machine', '$1,815.00', 'https://shop.resmed.com.au/resmed-airsense-10-autoset-for-her-machine/'], ['onesleeptest', '$149.00', 'https://shop.resmed.com.au/home-sleep-test/'], ['Reflux Relief Pillow', '$350.00', 'https://shop.resmed.com.au/reflux-relief-pillow/'], ['ResMed AirFit™ F20 Full Face Mask', '$229.00', 'https://shop.resmed.com.au/resmed-airfit-f20-full-face-mask/'], ['CPAP Pillow for Side Sleepers', '$49.95', 'https://shop.resmed.com.au/cpap-pillow-for-side-sleepers/']]"
