category,sku,product,description,price,breadcrumb,product_url,money_back,rating,total_reviews
Sleep Apnea,SKU:38815,ResMed AirMini™ Filters (2 Pack),"Block fine dust from entering your AirMini device with these disposable filters. Pack of two.
Keep your AirMini device clean by using these filters to block fine materials and larger particles from entering your machine.Sold as a pack of 2 filters. These standard air filters are only suitable for use with the ResMed AirMini device.These filters are disposable and aren't suitable for washing.",5.9,Home > Bestsellers > ResMed AirMini™ Filters (2 Pack),https://shop.resmed.com.au/resmed-airmini-filters-2-pack/,False,4.6,5
Bestsellers,SKU:Online Only,Reflux Relief Pillow,"Medcline Reflux Relief System offers a natural way to relieve symptoms of acid reflux. Designed for side sleepers this pillow has a gel-infused foam for added cooling comfort and a gentle padded incline to prevent sliding down at night.
This patented system puts you in a gently inclined sleeping position proven to improve symptoms of acid reflux.Dual component design Medical grade foam 3 sizes ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",350,Home > Sleep Health > Pillows > Reflux Relief Pillow,https://shop.resmed.com.au/reflux-relief-pillow/,True,3.7,10
Bestsellers,SKU:CPAPILLOW,CPAP Pillow for Side Sleepers,"Comfortable pillow designed for CPAP users who sleep on their side and encourage easier breathing during Sleep Apnea therapy.
Comfortable pillow designed for CPAP users who sleep on their side and encourage easier breathing during Sleep Apnea therapy.",49.95,Home > Sleep Health > Pillows > CPAP Pillow for Side Sleepers,https://shop.resmed.com.au/cpap-pillow-for-side-sleepers/,True,4,64
Sleep Apnea,SKU:64206,ResMed AirFit™ N30 Nasal Cradle Mask,"Resmed Airfit N30 is a CPAP mask that discreetly fits into your lifestyle to help adjust to therapy. Designed to be low profile and silent this mask is for side sleepers who are adjusting to their CPAP therapy. One of Resmed's lightest masks that provides support and comfort using a soft under the nose cradle cushion and a slip-on headgear.
With its simple design and slip-on headgear, this mask aims to fit into your lifestyle with ease. And with its narrow profile, the cushion sits evenly under your nose, so it's a great option if you sleep on your side.Key FeaturesAirFit N30 guidesALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",249,Home > Sleep Apnea > CPAP Masks > Nasal Cradle Masks > ResMed AirFit™ N30 Nasal Cradle Mask,https://shop.resmed.com.au/resmed-airfit-n30-nasal-cradle-mask/,True,4.2,9
Sleep Health,SKU:RETIMER,Re-timer Light Therapy Glasses,"Re-timer, a portable light therapy glasses for people on the go. These glasses use unique UV-free, sleep-inducing lights to get your sleeping pattern balanced. Simply put them on for 30 minutes a day while you get your day started or use them later while you relax after work.
University developed and backed by 25 years of research, Re-Timer uses light therapy, to re-program your body's sleep schedule. Re-Timer glasses should be worn for 30 minutes a day. Travellers who need to combat jet lag, shift workers and people who suffer from the winter blues due to reduced exposure to natural light",299,Home > Sleep Health > Glasses > Re-timer Light Therapy Glasses,https://shop.resmed.com.au/re-timer-light-therapy-glasses/,True,5,1
Bestsellers,SKU:37296,ResMed ClimateLineAir™ Heated Tubing for AirSense™ 10,"For AirSense 10 CPAP machines. This heated tubing provides the optimal temperature and humidity for your comfort and virtually eliminates rainout.
The ClimateLineAir is a heated tube that is purpose-built for ResMed AirSense 10 devices.This heated tube is specially designed to provide you with the optimal temperature and humidity for your comfort and virtually eliminates rainout.ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",69,Home > Bestsellers > ResMed ClimateLineAir™ Heated Tubing for AirSense™ 10,https://shop.resmed.com.au/resmed-climateline-tubing-for-airsense-10/,False,4.6,56
Sleep Apnea,,ResMed AirTouch™ N20 for Her Starter Pack,"AirTouch N20 for Her is an AirTouch N20 mask variant that's designed in a smaller size and with unique styling to better meet the needs of women. This starter pack contains 1 x AirTouch N20 for Her nasal mask system and 2 x UltraSoft™ memory foam cushions (3 months' supply). This mask is size Small.
Description:ResMed's AirTouch N20 represents our softest nasal mask ever – with UltraSoft memory foam cushion designed to offer unprecedented mask comfort.Key featuresSize optionsAirTouch N20 for Her Guides ",199,Home > Sleep Apnea > CPAP Masks > Nasal Masks > ResMed AirTouch™ N20 for Her Starter Pack,https://shop.resmed.com.au/resmed-airtouch-n20-for-her-starter-pack/,False,5,5
Sleep Apnea,,ResMed AirFit™ N30 Nasal Cradle Cushion,"Replacement cushion for the AirFit N30 nasal cradle mask.
Don't buy a whole new mask, simply replace the nasal cushion to save money and reduce waste.",85,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > ResMed AirFit™ N30 Nasal Cradle Cushion,https://shop.resmed.com.au/resmed-airfit-n30-mask-cushion/,False,3.2,5
Snoring,SKU:7074846,Seatec SleepTight Chinstrap,"A gentle, effective way to ensure your mouth stays closed during CPAP or bi-level therapy with a nasal or pillow mask. This is a medium-sized chin restraint.
Help keep your mouth closed while you sleep. Probably the most stable of chin straps, the unique, multi strap design holds it securely in place, and gives lots of chin and lip support.What size do I need? Measure around your head, from under your chin to the crown of your head going just in front of your ears (above your forehead), and back to the starting point under your chin.Median Sizes are:Small fits where the chin to top of head measurement is around 54cm.Medium fits where the measurement is around 60cm.Large fits where the measurement is around 66cm.Further lesser or larger adjustment is available on each chin strap size. The circumferences shown are the medium size for each chin strap. Chin straps help to minimize the problems that occur if air leaks from you mouth whilst using nasal CPAP. These include: a dry mouth or the feeling of air bubbling through your lips as you go to sleep. Chin straps can also sometimes help prevent air swallowing (aerophagia) and the discomfort it causes.Q : Can you please advise washing instructions without damaging stretchiness ?A : Wash weekly in warm soapy water, rinse and dry but not in direct sunlight. The Seatec will stretch slightly over the first month. Q : Can we see a diagram how worn? A : It goes over your head and under your chin. Q : Does the Chinstrap go on outside of your CPAP mask or on the inside. In other words what goes on your face first? A : Mask, then chin strap Q : Will this item help reduce snoring if used by itself? A : This will reduce minor snoring if the snoring is caused by muscle relaxation. This is not a prescribed therapy for snoring or Sleep Apnea. If the snoring is consistent it is best to have a chat to your GP.",30,Home > Snoring > Chin Strap > Seatec SleepTight Chinstrap,https://shop.resmed.com.au/seatec-sleeptight-chinstrap/,False,3.7,26
Snoring,SKU:7074843,Seatec Chin and Mouth Strap,"A gentle, effective way to ensure your mouth stays closed during CPAP or bi-level therapy with a nasal or pillow mask. This is a small-sized chin & mouth restraint.
A gentle, effective way to ensure your mouth stays closed during CPAP or bi-level therapy with a nasal or pillow mask.What size do I need? Measure around your head, from under your chin to the crown of your head going just in front of your ears (above your forehead), and back to the starting point under your chin.Median Sizes are:Small fits where the chin to top of head measurement is around 54cm.Medium fits where the measurement is around 60cm.Large fits where the measurement is around 66cm.Further lesser or larger adjustment is available on each chin strap size. The circumferences shown are the medium size for each chin strap. Chin straps help to minimize the problems that occur if air leaks from you mouth whilst using nasal CPAP. These include: a dry mouth or the feeling of air bubbling through your lips as you go to sleep. Chin straps can also sometimes help prevent air swallowing (aerophagia) and the discomfort it causes.",30,Home > Snoring > Chin Strap > Seatec Chin and Mouth Strap,https://shop.resmed.com.au/seatec-chin-and-mouth-strap/,False,3.7,37
